,StateName,Abbrev,Date,AvgPrice,Type,MORTGAGE30US,MonthlyPayment,AvgRent
217,Arizona,AZ,2015-05-31,356127.65479656216,Multifamily,3.87,918.81,952.0273744827881
218,Massachusetts,MA,2015-05-31,641155.7144097666,Multifamily,3.87,1654.18,1230.986496202002
219,Tennessee,TN,2015-05-31,345188.1146640058,Multifamily,3.87,890.59,914.3410140155054
220,Indiana,IN,2015-05-31,267062.5052658987,Multifamily,3.87,689.02,830.6189660996879
221,Maryland,MD,2015-05-31,486884.6781133681,Multifamily,3.87,1256.16,1029.534605187308
222,Missouri,MO,2015-05-31,288327.97419778124,Multifamily,3.87,743.89,880.9417625561431
223,Wisconsin,WI,2015-05-31,242162.40327463872,Multifamily,3.87,624.78,923.9179235476759
224,Colorado,CO,2015-05-31,435851.0031711158,Multifamily,3.87,1124.5,969.2208417947171
225,Minnesota,MN,2015-05-31,338646.22469971766,Multifamily,3.87,873.71,937.4823980778358
226,South Carolina,SC,2015-05-31,319299.7234080816,Multifamily,3.87,823.79,960.0741340873717
227,Alabama,AL,2015-05-31,321563.927826462,Multifamily,3.87,829.63,912.1039400825593
228,Louisiana,LA,2015-05-31,330227.51426269516,Multifamily,3.87,851.99,899.8094909143097
229,Kentucky,KY,2015-05-31,283038.331054328,Multifamily,3.87,730.24,910.3846720118773
230,Oregon,OR,2015-05-31,419698.39616108296,Multifamily,3.87,1082.82,920.4523033927031
231,Oklahoma,OK,2015-05-31,304734.31292754784,Multifamily,3.87,786.21,844.4909021389345
232,Connecticut,CT,2015-05-31,593831.3538244795,Multifamily,3.87,1532.08,1234.1707573411493
233,Utah,UT,2015-05-31,328080.95614934975,Multifamily,3.87,846.45,954.4982947037088
234,Iowa,IA,2015-05-31,271440.09064384934,Multifamily,3.87,700.32,887.7818739729772
235,Nevada,NV,2015-05-31,349360.50440686074,Multifamily,3.87,901.35,884.2032616502596
236,Arkansas,AR,2015-05-31,307527.0138605667,Multifamily,3.87,793.42,887.8685611832518
237,Mississippi,MS,2015-05-31,279897.80435677484,Multifamily,3.87,722.14,846.7634891138907
